Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Overperforming Score (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x )
Philippine E-cigarette Industry Association - Public,PECIAI,530282147019072,NONPROFIT ORGANIZATION,PH," PECIA was registered with SEC  on April 29, 2013 with Reg.#CN201308298. E-Cigarette current issues, news, facts & studies in Philippines and Worldwide.",2016-12-13 04:23:43 SGT,17082,17585,2020-11-13 19:06:17 SGT,2020-11-13,19:06:17,Photo,404,100,7,227,6,0,0,46,16,2,,-,0,0,0,N/A,https://www.facebook.com/530282147019072/posts/3486573154723275,Read the article here: https://mb.com.ph/2020/11/05/consumers-urge-prrd-to-cut-foreign-grants-influencing-vape-heated-tobacco-guidelines/?utm_source=rss&utm_medium=rss&utm_campaign=consumers-urge-prrd-to-cut-foreign-grants-influencing-vape-heated-tobacco-guidelines,https://www.facebook.com/PECIAI/photos/a.530775916969695/3486570758056848/?type=3,,"""The vaping ndustry IS being treated unfairly. We are not the enemy here. Combustible cigarettes that bring 88,000 deaths per year are our common enemy. Why IS vaping treated worse than smoking?"" -Joey Dulay, President of the Philippine E-Cigarette Industry Association PECTaR Like us on PECIA Follow us on @pecia_ph",,,,,,2.2
Philippine E-cigarette Industry Association - Public,PECIAI,530282147019072,NONPROFIT ORGANIZATION,PH," PECIA was registered with SEC  on April 29, 2013 with Reg.#CN201308298. E-Cigarette current issues, news, facts & studies in Philippines and Worldwide.",2016-12-13 04:23:43 SGT,17081,17584,2020-11-12 20:13:31 SGT,2020-11-12,20:13:31,Link,74,46,1,10,0,3,0,13,1,0,,-,0,0,0,N/A,https://www.facebook.com/530282147019072/posts/3483952091652048,"Joey Dulay, president of the Philippine E-Cigarette Industry Association said during the public consultation that they were saddened to hear that the guidelines were “based on the recommendations of only the medical NGOs. We are (vapers and industry) the ones most affected with these guidelines and should be heard and considered also.” We hope everyone is staying safe and dry.",https://mb.com.ph/2020/11/05/consumers-urge-prrd-to-cut-foreign-grants-influencing-vape-heated-tobacco-guidelines/?utm_source=rss&utm_medium=rss&utm_campaign=consumers-urge-prrd-to-cut-foreign-grants-influencing-vape-heated-tobacco-guidelines,,,"Consumers urge PRRD to cut foreign grants influencing vape, heated tobacco guidelines - Manila Bulletin",Consumers appealed to President Rodrigo Duterte to cut foreign funding of the Food and Drug Administration (FDA) from private vested interest groups influencing the draft regulation of vape and heated tobacco products (HTPs).,,,,-1.77
Kai Defiant Vaping,KaiDefiantVaping,106750394391307,VIDEO CREATOR,,"If you want a Page that helps you learn more about vaping with no lies and no bullsh*t, you've come to the right Page.

We got live commentaries, product review and more in this Page.

If you happen to drop by, like and follow my Page.",2020-12-12 22:15:50 SGT,N/A,N/A,2020-11-13 23:06:17 SGT,2020-11-13,23:06:17,Photo,10,9,0,0,1,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/106750394391307/posts/212752543791091,,https://www.facebook.com/PECIAI/photos/a.530775916969695/3486570758056848/?type=3,https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2FPECIAI%2Fphotos%2Fa.530775916969695%2F3486570758056848%2F%3Ftype%3D3,"""The vaping ndustry IS being treated unfairly. We are not the enemy here. Combustible cigarettes that bring 88,000 deaths per year are our common enemy. Why IS vaping treated worse than smoking?"" -Joey Dulay, President of the Philippine E-Cigarette Industry Association PECTaR Like us on PECIA Follow us on @pecia_ph",Philippine E-cigarette Industry Association - Public,"Read the article here:

https://mb.com.ph/2020/11/05/consumers-urge-prrd-to-cut-foreign-grants-influencing-vape-heated-tobacco-guidelines/?utm_source=rss&utm_medium=rss&utm_campaign=consumers-urge-prrd-to-cut-foreign-grants-influencing-vape-heated-tobacco-guidelines",,,,-7.6
